image_id,image_path,group,n_tube,n_roi,top_tube_conf,top_roi_conf,second_roi_conf,tube_conf_list,roi_conf_list
splash_pos_3_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_3_1.jpg,qc_splash,1,1,0.8580,0.7421,0.0000,0.8580,0.7421
splash_pos_3_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_3_2.jpg,qc_splash,1,1,0.8585,0.7592,0.0000,0.8585,0.7592
splash_pos_4_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_4_1.jpg,qc_splash,1,0,0.8552,0.0000,0.0000,0.8552,
splash_pos_4_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_4_2.jpg,qc_splash,1,0,0.8573,0.0000,0.0000,0.8573,
splash_pos_5_1,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_5_1.jpg,qc_splash,1,0,0.8600,0.0000,0.0000,0.8600,
splash_pos_5_2,C:\n.gonorrhea_diagnostic_app\dataset\qc_test\error_splash\splash_pos_5_2.jpg,qc_splash,1,0,0.8603,0.0000,0.0000,0.8603,
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,solo,1,1,0.8435,0.8185,0.0000,0.8435,0.8185
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,solo,1,1,0.8440,0.8029,0.0000,0.8440,0.8029
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,solo,1,1,0.8435,0.8185,0.0000,0.8435,0.8185
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,solo,1,1,0.8440,0.8029,0.0000,0.8440,0.8029
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,solo,1,1,0.8440,0.8029,0.0000,0.8440,0.8029
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,solo,1,1,0.8560,0.8195,0.0000,0.8560,0.8195
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,solo,1,1,0.8446,0.8256,0.0000,0.8446,0.8256
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,solo,1,1,0.8571,0.8108,0.0000,0.8571,0.8108
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,solo,1,1,0.8471,0.7978,0.0000,0.8471,0.7978
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,solo,1,1,0.8362,0.8157,0.0000,0.8362,0.8157
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,solo,1,1,0.8359,0.8190,0.0000,0.8359,0.8190
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,solo,1,1,0.8609,0.8184,0.0000,0.8609,0.8184
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,solo,1,1,0.8640,0.8230,0.0000,0.8640,0.8230
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,solo,1,1,0.8351,0.7819,0.0000,0.8351,0.7819
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,solo,1,1,0.8344,0.8001,0.0000,0.8344,0.8001
solo_test_pos_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_01.jpg,solo,1,1,0.8536,0.8182,0.0000,0.8536,0.8182
solo_test_pos_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_02.jpg,solo,1,1,0.8618,0.8183,0.0000,0.8618,0.8183
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,solo,1,1,0.8536,0.8182,0.0000,0.8536,0.8182
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,solo,1,1,0.8618,0.8183,0.0000,0.8618,0.8183
solo_test_pos_r_0_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,solo,1,1,0.8618,0.8183,0.0000,0.8618,0.8183
solo_test_pos_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_1_1.jpg,solo,1,1,0.8335,0.8062,0.0000,0.8335,0.8062
solo_test_pos_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_1_2.jpg,solo,1,1,0.8340,0.7953,0.0000,0.8340,0.7953
solo_test_pos_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_2_1.jpg,solo,1,1,0.8322,0.8158,0.0000,0.8322,0.8158
solo_test_pos_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_2_2.jpg,solo,1,1,0.8528,0.8332,0.0000,0.8528,0.8332
solo_test_pos_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_3_1.jpg,solo,1,1,0.8667,0.8239,0.0000,0.8667,0.8239
solo_test_pos_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_3_2.jpg,solo,1,1,0.8604,0.8223,0.0000,0.8604,0.8223
solo_test_pos_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_4_1.jpg,solo,1,1,0.8316,0.8287,0.0000,0.8316,0.8287
solo_test_pos_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_4_2.jpg,solo,1,1,0.8368,0.8192,0.0000,0.8368,0.8192
solo_test_pos_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_5_1.jpg,solo,1,1,0.8144,0.7943,0.0000,0.8144,0.7943
solo_test_pos_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_5_2.jpg,solo,1,1,0.8388,0.8243,0.0000,0.8388,0.8243
solo_train_neg_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_1.jpg,solo,1,1,0.8520,0.8103,0.0000,0.8520,0.8103
solo_train_neg_10,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_10.jpg,solo,1,1,0.8566,0.8187,0.0000,0.8566,0.8187
solo_train_neg_11,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_11.jpg,solo,1,1,0.8587,0.8147,0.0000,0.8587,0.8147
solo_train_neg_12,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_12.jpg,solo,1,1,0.8426,0.8104,0.0000,0.8426,0.8104
solo_train_neg_13,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_13.jpg,solo,1,1,0.8555,0.8115,0.0000,0.8555,0.8115
solo_train_neg_14,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_14.jpg,solo,1,1,0.8629,0.8088,0.0000,0.8629,0.8088
solo_train_neg_15,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_15.jpg,solo,1,1,0.8602,0.8398,0.0000,0.8602,0.8398
solo_train_neg_16,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_16.jpg,solo,1,1,0.8402,0.8233,0.0000,0.8402,0.8233
solo_train_neg_17,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_17.jpg,solo,1,1,0.8336,0.8134,0.0000,0.8336,0.8134
